track_name,album_release_date
Welcome To New York,2014-10-27
Blank Space,2014-10-27
Style,2014-10-27
Out Of The Woods,2014-10-27
All You Had To Do Was Stay,2014-10-27
Shake It Off,2014-10-27
I Wish You Would,2014-10-27
Bad Blood,2014-10-27
Wildest Dreams,2014-10-27
How You Get The Girl,2014-10-27
This Love,2014-10-27
I Know Places,2014-10-27
Clean,2014-10-27
Wonderland,2014-10-27
You Are In Love,2014-10-27
New Romantics,2014-10-27
I Know Places - Voice Memo,2014-10-27
I Wish You Would - Voice Memo,2014-10-27
Blank Space - Voice Memo,2014-10-27
Welcome To New York,2014-10-27
Blank Space,2014-10-27
Style,2014-10-27
Out Of The Woods,2014-10-27
All You Had To Do Was Stay,2014-10-27
Shake It Off,2014-10-27
I Wish You Would,2014-10-27
Bad Blood,2014-10-27
Wildest Dreams,2014-10-27
How You Get The Girl,2014-10-27
This Love,2014-10-27
I Know Places,2014-10-27
Clean,2014-10-27
All Too Well,2017-11-09
Wildest Dreams,2017-11-09
The Best Day,2017-11-09
Red,2017-11-09
Holy Ground,2017-11-09
Teardrops On My Guitar - Radio Single Remix,2017-11-09
Our Song,2017-11-09
22,2017-11-09
I Knew You Were Trouble.,2017-11-09
I Don’t Wanna Live Forever (Fifty Shades Darker),2017-11-09
Mean,2017-11-09
How You Get The Girl,2017-11-09
So It Goes...,2017-11-09
Fifteen,2017-11-09
Mine,2017-11-09
Sparks Fly,2017-11-09
State Of Grace,2017-11-09
Haunted,2017-11-09
Never Grow Up,2017-11-09
Treacherous,2017-11-09
Babe,2017-11-09
Welcome To New York,2017-11-09
Fearless,2017-11-09
Enchanted,2017-11-09
Change,2017-11-09
Ours,2017-11-09
Out Of The Woods,2017-11-09
Come Back...Be Here,2017-11-09
A Place in this World,2017-11-09
This Love,2017-11-09
The Lucky One,2017-11-09
Invisible,2017-11-09
Breathe,2017-11-09
Better Man,2017-11-09
Jump Then Fall,2017-11-09
Begin Again,2017-11-09
Tied Together with a Smile,2017-11-09
The Story Of Us,2017-11-09
Forever & Always,2017-11-09
Hey Stephen,2017-11-09
Speak Now,2017-11-09
Wonderland,2017-11-09
White Horse,2017-11-09
I'm Only Me When I'm With You,2017-11-09
Starlight,2017-11-09
I Know Places,2017-11-09
...Ready For It?,2017-11-10
End Game,2017-11-10
I Did Something Bad,2017-11-10
Don’t Blame Me,2017-11-10
Delicate,2017-11-10
Look What You Made Me Do,2017-11-10
So It Goes...,2017-11-10
Gorgeous,2017-11-10
Getaway Car,2017-11-10
King Of My Heart,2017-11-10
Dancing With Our Hands Tied,2017-11-10
Dress,2017-11-10
This Is Why We Can't Have Nice Things,2017-11-10
Call It What You Want,2017-11-10
New Year’s Day,2017-11-10
I Forgot That You Existed,2019-08-23
Cruel Summer,2019-08-23
Lover,2019-08-23
The Man,2019-08-23
The Archer,2019-08-23
I Think He Knows,2019-08-23
Miss Americana & The Heartbreak Prince,2019-08-23
Paper Rings,2019-08-23
Cornelia Street,2019-08-23
Death By A Thousand Cuts,2019-08-23
London Boy,2019-08-23
Soon You’ll Get Better (feat. The Chicks),2019-08-23
False God,2019-08-23
You Need To Calm Down,2019-08-23
Afterglow,2019-08-23
ME! (feat. Brendon Urie of Panic! At The Disco),2019-08-23
It’s Nice To Have A Friend,2019-08-23
Daylight,2019-08-23
the 1,2020-07-24
cardigan,2020-07-24
the last great american dynasty,2020-07-24
exile (feat. Bon Iver),2020-07-24
my tears ricochet,2020-07-24
mirrorball,2020-07-24
seven,2020-07-24
august,2020-07-24
this is me trying,2020-07-24
illicit affairs,2020-07-24
invisible string,2020-07-24
mad woman,2020-07-24
epiphany,2020-07-24
betty,2020-07-24
peace,2020-07-24
hoax,2020-07-24
the 1,2020-08-18
cardigan,2020-08-18
the last great american dynasty,2020-08-18
exile (feat. Bon Iver),2020-08-18
my tears ricochet,2020-08-18
mirrorball,2020-08-18
seven,2020-08-18
august,2020-08-18
this is me trying,2020-08-18
illicit affairs,2020-08-18
invisible string,2020-08-18
mad woman,2020-08-18
epiphany,2020-08-18
betty,2020-08-18
peace,2020-08-18
hoax,2020-08-18
the lakes - bonus track,2020-08-18
the 1,2020-11-25
cardigan,2020-11-25
the last great american dynasty,2020-11-25
exile (feat. Bon Iver),2020-11-25
my tears ricochet,2020-11-25
mirrorball,2020-11-25
seven,2020-11-25
august,2020-11-25
this is me trying,2020-11-25
illicit affairs,2020-11-25
invisible string,2020-11-25
mad woman,2020-11-25
epiphany,2020-11-25
betty,2020-11-25
peace,2020-11-25
hoax,2020-11-25
the lakes - bonus track,2020-11-25
the 1 - the long pond studio sessions,2020-11-25
cardigan - the long pond studio sessions,2020-11-25
the last great american dynasty - the long pond studio sessions,2020-11-25
exile (feat. Bon Iver) - the long pond studio sessions,2020-11-25
my tears ricochet - the long pond studio sessions,2020-11-25
mirrorball - the long pond studio sessions,2020-11-25
seven - the long pond studio sessions,2020-11-25
august - the long pond studio sessions,2020-11-25
this is me trying - the long pond studio sessions,2020-11-25
illicit affairs - the long pond studio sessions,2020-11-25
invisible string - the long pond studio sessions,2020-11-25
mad woman - the long pond studio sessions,2020-11-25
epiphany - the long pond studio sessions,2020-11-25
betty - the long pond studio sessions,2020-11-25
peace - the long pond studio sessions,2020-11-25
hoax - the long pond studio sessions,2020-11-25
the lakes - the long pond studio sessions,2020-11-25
willow,2020-12-11
champagne problems,2020-12-11
gold rush,2020-12-11
‘tis the damn season,2020-12-11
tolerate it,2020-12-11
"no body, no crime (feat. HAIM)",2020-12-11
happiness,2020-12-11
dorothea,2020-12-11
coney island (feat. The National),2020-12-11
ivy,2020-12-11
cowboy like me,2020-12-11
long story short,2020-12-11
marjorie,2020-12-11
closure,2020-12-11
evermore (feat. Bon Iver),2020-12-11
willow,2021-01-07
champagne problems,2021-01-07
gold rush,2021-01-07
‘tis the damn season,2021-01-07
tolerate it,2021-01-07
"no body, no crime (feat. HAIM)",2021-01-07
happiness,2021-01-07
dorothea,2021-01-07
coney island (feat. The National),2021-01-07
ivy,2021-01-07
cowboy like me,2021-01-07
long story short,2021-01-07
marjorie,2021-01-07
closure,2021-01-07
evermore (feat. Bon Iver),2021-01-07
right where you left me - bonus track,2021-01-07
it’s time to go - bonus track,2021-01-07
Fearless (Taylor’s Version),2021-04-09
Fifteen (Taylor’s Version),2021-04-09
Love Story (Taylor’s Version),2021-04-09
Hey Stephen (Taylor’s Version),2021-04-09
White Horse (Taylor’s Version),2021-04-09
You Belong With Me (Taylor’s Version),2021-04-09
Breathe (feat. Colbie Caillat) (Taylor’s Version),2021-04-09
Tell Me Why (Taylor’s Version),2021-04-09
You’re Not Sorry (Taylor’s Version),2021-04-09
The Way I Loved You (Taylor’s Version),2021-04-09
Forever & Always (Taylor’s Version),2021-04-09
The Best Day (Taylor’s Version),2021-04-09
Change (Taylor’s Version),2021-04-09
Jump Then Fall (Taylor’s Version),2021-04-09
Untouchable (Taylor’s Version),2021-04-09
Forever & Always (Piano Version) (Taylor’s Version),2021-04-09
Come In With The Rain (Taylor’s Version),2021-04-09
Superstar (Taylor’s Version),2021-04-09
The Other Side Of The Door (Taylor’s Version),2021-04-09
Today Was A Fairytale (Taylor’s Version),2021-04-09
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),2021-04-09
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),2021-04-09
We Were Happy (Taylor’s Version) (From The Vault),2021-04-09
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),2021-04-09
Don’t You (Taylor’s Version) (From The Vault),2021-04-09
Bye Bye Baby (Taylor’s Version) (From The Vault),2021-04-09
State Of Grace (Taylor's Version),2021-11-12
Red (Taylor's Version),2021-11-12
Treacherous (Taylor's Version),2021-11-12
I Knew You Were Trouble (Taylor's Version),2021-11-12
All Too Well (Taylor's Version),2021-11-12
22 (Taylor's Version),2021-11-12
I Almost Do (Taylor's Version),2021-11-12
We Are Never Ever Getting Back Together (Taylor's Version),2021-11-12
Stay Stay Stay (Taylor's Version),2021-11-12
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),2021-11-12
Holy Ground (Taylor's Version),2021-11-12
Sad Beautiful Tragic (Taylor's Version),2021-11-12
The Lucky One (Taylor's Version),2021-11-12
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),2021-11-12
Starlight (Taylor's Version),2021-11-12
Begin Again (Taylor's Version),2021-11-12
The Moment I Knew (Taylor's Version),2021-11-12
Come Back...Be Here (Taylor's Version),2021-11-12
